FT_API_PROFILE: captured ~60s of API server cProfile (cumulative time, top 80)

         4725427 function calls (4635087 primitive calls) in 4.968 seconds

   Ordered by: cumulative time
   List reduced from 856 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      406    0.001    0.000    0.124    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/starlette/middleware/cors.py:77(__call__)
      194    0.001    0.000    0.123    0.001 /home/jlpang/my-vllm-serving-system/vllm/entrypoints/openai/chat_completion/api_router.py:34(create_chat_completion)
    29090    0.065    0.000    0.122    0.000 /home/jlpang/my-vllm-serving-system/vllm/v1/engine/output_processor.py:372(_new_completion_output)
    58665    0.070    0.000    0.122    0.000 /usr/lib/python3.10/asyncio/locks.py:201(wait)
      194    0.005    0.000    0.120    0.001 /home/jlpang/my-vllm-serving-system/vllm/entrypoints/openai/chat_completion/serving.py:328(create_chat_completion)
    32334    0.016    0.000    0.117    0.000 /usr/lib/python3.10/os.py:772(getenv)
    33691    0.052    0.000    0.116    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/prometheus_client/metrics.py:665(observe)
      406    0.001    0.000    0.106    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/starlette/middleware/exceptions.py:47(__call__)
    33331    0.029    0.000    0.105    0.000 /usr/lib/python3.10/_collections_abc.py:821(get)
  812/512    0.001    0.000    0.104    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/starlette/_exception_handler.py:31(wrapped_app)
      406    0.001    0.000    0.104    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/fastapi/middleware/asyncexitstack.py:15(__call__)
      406    0.001    0.000    0.102    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/starlette/routing.py:712(__call__)
      406    0.002    0.000    0.102    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/starlette/routing.py:718(app)
    58480    0.047    0.000    0.100    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/pydantic/main.py:1028(__setattr__)
    25020    0.047    0.000    0.100    0.000 /usr/lib/python3.10/enum.py:986(__and__)
      406    0.001    0.000    0.096    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/starlette/routing.py:281(handle)
      406    0.001    0.000    0.095    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/fastapi/routing.py:110(app)
      406    0.002    0.000    0.094    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/fastapi/routing.py:113(app)
   408803    0.080    0.000    0.084    0.000 {built-in method builtins.isinstance}
    85000    0.045    0.000    0.083    0.000 /usr/lib/python3.10/enum.py:359(__call__)
    29090    0.021    0.000    0.082    0.000 /home/jlpang/my-vllm-serving-system/vllm/v1/engine/output_processor.py:57(put)
    32634    0.040    0.000    0.074    0.000 /usr/lib/python3.10/os.py:675(__getitem__)
   411866    0.072    0.000    0.072    0.000 /home/jlpang/my-vllm-serving-system/vllm/entrypoints/openai/engine/protocol.py:52(<genexpr>)
      194    0.005    0.000    0.072    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/fastapi/routing.py:382(app)
     3117    0.033    0.000    0.063    0.000 /home/jlpang/my-vllm-serving-system/vllm/v1/engine/ft_client.py:1548(process_engine_outputs)
      194    0.002    0.000    0.062    0.000 /home/jlpang/my-vllm-serving-system/vllm/entrypoints/openai/chat_completion/serving.py:218(render_chat_request)
    83603    0.052    0.000    0.062    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/prometheus_client/values.py:18(inc)
    29414    0.037    0.000    0.062    0.000 /usr/lib/python3.10/asyncio/locks.py:183(set)
