FT_API_PROFILE: captured ~60s of API server cProfile (cumulative time, top 80)

         4659069 function calls (4570681 primitive calls) in 8.075 seconds

   Ordered by: cumulative time
   List reduced from 856 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      194    0.005    0.000    0.152    0.001 /home/jlpang/my-vllm-serving-system/vllm/entrypoints/openai/chat_completion/serving.py:328(create_chat_completion)
      408    0.001    0.000    0.147    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/fastapi/applications.py:1160(__call__)
      408    0.001    0.000    0.146    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/starlette/applications.py:103(__call__)
      408    0.001    0.000    0.145    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/starlette/middleware/errors.py:149(__call__)
      408    0.002    0.000    0.144    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/starlette/middleware/cors.py:77(__call__)
    29035    0.073    0.000    0.137    0.000 /home/jlpang/my-vllm-serving-system/vllm/v1/engine/output_processor.py:372(_new_completion_output)
    87970    0.065    0.000    0.135    0.000 {built-in method builtins.any}
    32264    0.017    0.000    0.132    0.000 /usr/lib/python3.10/os.py:772(getenv)
    57068    0.029    0.000    0.127    0.000 /home/jlpang/my-vllm-serving-system/vllm/entrypoints/openai/engine/protocol.py:264(handle_deprecated_reasoning_content)
    57359    0.069    0.000    0.124    0.000 /usr/lib/python3.10/asyncio/locks.py:201(wait)
      408    0.001    0.000    0.121    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/starlette/middleware/exceptions.py:47(__call__)
  816/515    0.001    0.000    0.119    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/starlette/_exception_handler.py:31(wrapped_app)
    33157    0.033    0.000    0.119    0.000 /usr/lib/python3.10/_collections_abc.py:821(get)
      408    0.001    0.000    0.119    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/fastapi/middleware/asyncexitstack.py:15(__call__)
    33635    0.053    0.000    0.118    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/prometheus_client/metrics.py:665(observe)
      408    0.001    0.000    0.117    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/starlette/routing.py:712(__call__)
      408    0.002    0.000    0.117    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/starlette/routing.py:718(app)
      408    0.001    0.000    0.110    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/starlette/routing.py:281(handle)
      408    0.002    0.000    0.109    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/fastapi/routing.py:110(app)
      408    0.002    0.000    0.108    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/fastapi/routing.py:113(app)
    24500    0.051    0.000    0.106    0.000 /usr/lib/python3.10/enum.py:986(__and__)
    57175    0.046    0.000    0.098    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/pydantic/main.py:1028(__setattr__)
    29035    0.024    0.000    0.094    0.000 /home/jlpang/my-vllm-serving-system/vllm/v1/engine/output_processor.py:57(put)
   403522    0.083    0.000    0.090    0.000 {built-in method builtins.isinstance}
